uid,location,age
517,usa,22.0
519,united kingdom,23.0
520,usa,14.0
521,usa,62.0
522,canada,33.0
523,usa,19.0
524,australia,37.0
525,france,29.0
526,germany,35.0
527,germany,22.0
528,singapore,16.0
529,usa,28.0
531,usa,56.0
532,argentina,53.0
533,united kingdom,31.0
534,usa,59.0
535,italy,37.0
536,vietnam,20.0
537,usa,22.0
539,usa,44.0
540,usa,67.0
541,usa,45.0
543,vietnam,27.0
544,united kingdom,36.0
545,usa,43.0
547,usa,34.0
548,usa,39.0
549,usa,54.0
550,pakistan,53.0
551,india,19.0
553,denmark,16.0
554,portugal,21.0
555,italy,36.0
556,usa,31.0
557,usa,49.0
558,usa,28.0
559,usa,42.0
560,usa,17.0
561,usa,35.0
562,albania,35.0
563,usa,44.0
568,egypt,48.0
569,pakistan,28.0
570,usa,16.0
571,netherlands,23.0
572,tunisia,23.0
573,egypt,31.0
574,spain,33.0
575,portugal,23.0
576,switzerland,35.0
577,iran,36.0
578,canada,31.0
579,india,29.0
580,spain,22.0
581,spain,45.0
582,australia,56.0
583,uzbekistan,19.0
584,qatar,23.0
586,malaysia,26.0
587,italy,56.0
588,usa,60.0
589,italy,14.0
590,germany,18.0
591,usa,42.0
592,usa,44.0
593,canada,28.0
594,united kingdom,26.0
597,usa,43.0
598,syria,34.0
599,usa,36.0
600,iran,20.0
601,canada,24.0
602,usa,23.0
603,germany,40.0
604,usa,42.0
605,usa,54.0
606,usa,51.0
607,china,31.0
608,usa,30.0
609,spain,34.0
610,spain,19.0
611,italy,24.0
612,usa,20.0
613,turkey,1.0
615,portugal,29.0
616,usa,34.0
617,portugal,54.0
620,canada,45.0
622,brazil,23.0
624,netherlands,51.0
627,usa,70.0
629,germany,44.0
630,france,33.0
631,usa,57.0
632,usa,15.0
633,germany,37.0
635,canada,24.0
636,usa,51.0
637,singapore,20.0
641,usa,19.0
642,usa,37.0
644,usa,23.0
645,canada,61.0
646,united kingdom,21.0
647,australia,35.0
648,canada,34.0
649,usa,37.0
650,usa,36.0
652,usa,37.0
653,united kingdom,59.0
654,canada,30.0
655,usa,58.0
656,new zealand,47.0
658,usa,61.0
659,canada,31.0
661,germany,22.0
662,canada,21.0
663,spain,49.0
664,spain,26.0
665,sweden,34.0
666,india,24.0
667,india,57.0
668,india,27.0
669,india,24.0
670,india,61.0
671,saudi arabia,1.0
672,india,48.0
673,india,23.0
674,india,32.0
675,india,24.0
676,italy,31.0
677,usa,27.0
679,usa,65.0
680,usa,28.0
681,indonesia,20.0
682,usa,44.0
684,usa,44.0
686,pakistan,43.0
687,romania,35.0
688,australia,14.0
689,france,22.0
690,usa,80.0
691,united kingdom,25.0
692,usa,44.0
693,usa,58.0
694,usa,40.0
695,netherlands,17.0
696,canada,13.0
697,canada,67.0
699,united kingdom,45.0
700,malaysia,16.0
701,usa,31.0
702,usa,53.0
703,usa,52.0
704,usa,23.0
706,usa,24.0
708,usa,49.0
710,brazil,42.0
715,usa,20.0
716,mexico,34.0
718,usa,30.0
719,canada,52.0
721,usa,18.0
722,usa,66.0
723,usa,14.0
724,usa,20.0
725,portugal,24.0
727,portugal,40.0
729,canada,32.0
731,usa,40.0
732,india,26.0
733,new zealand,53.0
734,germany,33.0
737,usa,43.0
738,usa,60.0
740,usa,22.0
742,usa,23.0
744,usa,48.0
745,germany,25.0
747,usa,47.0
748,spain,14.0
749,usa,24.0
750,switzerland,36.0
751,spain,41.0
752,usa,22.0
754,germany,33.0
755,china,24.0
756,usa,27.0
757,usa,29.0
760,usa,28.0
761,china,30.0
762,portugal,23.0
764,usa,28.0
765,usa,30.0
766,usa,52.0
767,usa,43.0
768,greece,18.0
769,usa,55.0
770,iran,45.0
771,usa,38.0
772,portugal,27.0
773,sudan,52.0
775,saudi arabia,28.0
778,usa,24.0
779,canada,24.0
780,usa,19.0
781,united kingdom,20.0
783,usa,18.0
784,usa,39.0
785,usa,62.0
787,usa,48.0
788,usa,16.0
789,usa,15.0
791,usa,60.0
792,usa,44.0
793,usa,23.0
794,usa,47.0
795,usa,29.0
796,usa,54.0
797,usa,29.0
798,usa,43.0
800,usa,53.0
801,usa,51.0
802,argentina,33.0
803,spain,41.0
804,usa,38.0
806,usa,43.0
807,germany,32.0
808,canada,47.0
810,usa,26.0
812,canada,17.0
813,usa,42.0
814,usa,42.0
815,canada,43.0
816,italy,32.0
817,usa,41.0
820,usa,38.0
821,italy,33.0
823,usa,36.0
825,usa,38.0
826,usa,65.0
828,usa,35.0
829,usa,23.0
830,usa,57.0
831,spain,21.0
832,united kingdom,32.0
833,argentina,22.0
836,usa,26.0
837,usa,26.0
838,usa,71.0
839,nigeria,40.0
840,spain,21.0
841,usa,24.0
842,germany,42.0
844,usa,20.0
845,italy,25.0
846,usa,55.0
847,spain,23.0
851,malaysia,40.0
852,spain,27.0
854,usa,22.0
855,germany,54.0
856,spain,29.0
857,malaysia,25.0
858,usa,46.0
859,usa,49.0
860,united kingdom,26.0
861,usa,21.0
862,usa,56.0
863,somewherein space,73.0
864,canada,41.0
865,usa,28.0
866,spain,23.0
867,spain,27.0
868,spain,27.0
869,romania,30.0
870,italy,19.0
871,usa,19.0
872,united kingdom,22.0
873,united kingdom,26.0
874,usa,27.0
875,usa,32.0
877,italy,27.0
879,usa,47.0
880,usa,34.0
881,canada,24.0
883,usa,43.0
884,germany,25.0
887,usa,30.0
888,usa,78.0
889,united kingdom,46.0
890,usa,25.0
891,germany,18.0
892,usa,15.0
893,italy,19.0
894,australia,22.0
895,australia,40.0
897,australia,14.0
898,poland,29.0
903,usa,19.0
904,usa,48.0
905,usa,20.0
906,united kingdom,72.0
907,usa,31.0
908,australia,55.0
909,france,19.0
910,usa,25.0
911,usa,40.0
912,usa,33.0
917,usa,21.0
918,canada,52.0
920,usa,28.0
922,canada,20.0
923,usa,21.0
925,italy,30.0
926,portugal,29.0
927,thailand,16.0
928,australia,60.0
930,usa,30.0
931,usa,43.0
934,usa,28.0
935,philippines,21.0
938,canada,55.0
939,philippines,21.0
940,usa,16.0
942,france,29.0
943,spain,24.0
946,united kingdom,23.0
947,usa,15.0
948,usa,34.0
949,canada,26.0
950,philippines,25.0
951,usa,30.0
952,usa,38.0
953,italy,22.0
954,usa,37.0
955,united kingdom,47.0
956,united kingdom,29.0
957,chile,30.0
958,usa,78.0
959,spain,24.0
960,indonesia,39.0
961,italy,22.0
962,spain,35.0
963,canada,16.0
964,usa,30.0
965,usa,24.0
966,ireland,22.0
968,spain,25.0
970,australia,15.0
971,ghana,22.0
972,saudi arabia,22.0
975,usa,34.0
976,australia,28.0
977,usa,43.0
978,usa,33.0
979,united kingdom,36.0
980,spain,23.0
981,usa,21.0
982,usa,41.0
983,vietnam,25.0
985,spain,23.0
986,usa,21.0
987,usa,36.0
988,usa,36.0
990,usa,45.0
991,usa,62.0
992,australia,33.0
993,germany,17.0
994,usa,31.0
995,new zealand,34.0
997,usa,22.0
999,usa,21.0
1001,australia,19.0
1002,spain,25.0
1003,usa,36.0
1004,united kingdom,40.0
1005,usa,67.0
1006,usa,59.0
1007,usa,16.0
1008,usa,35.0
1012,usa,27.0
1013,usa,23.0
1014,canada,26.0
1015,canada,18.0
1016,usa,38.0
1018,usa,41.0
1020,usa,59.0
1022,usa,48.0
1023,usa,36.0
1024,usa,53.0
1026,usa,47.0
1027,italy,18.0
1028,mexico,57.0
1029,usa,57.0
1030,usa,29.0
1033,usa,1.0
1034,brazil,18.0
1035,usa,26.0
1036,usa,25.0
1037,usa,18.0
1038,usa,26.0
1039,usa,38.0
1041,usa,67.0
1042,usa,40.0
1044,usa,34.0
1045,usa,47.0
1047,usa,63.0
1049,ireland,34.0
1050,usa,38.0
1051,china,17.0
1052,italy,31.0
1053,usa,20.0
1054,usa,37.0
1055,switzerland,30.0
1057,united kingdom,19.0
1058,france,23.0
1059,usa,47.0
1061,usa,58.0
1062,new zealand,16.0
1065,usa,22.0
1066,usa,59.0
1067,usa,37.0
1068,canada,18.0
1069,usa,16.0
1070,usa,30.0
1071,portugal,22.0
1072,france,47.0
1073,italy,31.0
1074,germany,42.0
1076,usa,20.0
1077,usa,32.0
1078,spain,28.0
1079,usa,17.0
1080,usa,35.0
1081,spain,31.0
1084,usa,48.0
1085,usa,21.0
1086,usa,36.0
1087,usa,46.0
1088,usa,17.0
1089,usa,22.0
1090,usa,49.0
1091,spain,25.0
1092,canada,28.0
1093,usa,47.0
1094,usa,18.0
1097,usa,60.0
1098,usa,54.0
1099,usa,32.0
1101,usa,37.0
1102,spain,28.0
1103,kuala lumpur,19.0
1104,malaysia,38.0
1105,usa,57.0
1107,usa,22.0
1109,usa,18.0
1110,ireland,31.0
1112,usa,31.0
1114,new zealand,59.0
1115,india,15.0
1117,usa,61.0
1119,united kingdom,32.0
1120,usa,16.0
1121,usa,61.0
1122,usa,21.0
1124,usa,22.0
1125,usa,18.0
1126,spain,22.0
1127,usa,16.0
1128,usa,61.0
1130,venezuela,26.0
1132,usa,24.0
1134,paraguay,51.0
1135,germany,35.0
1136,spain,21.0
1138,usa,52.0
1139,spain,33.0
1140,usa,19.0
1141,chile,26.0
1142,austria,25.0
1143,united kingdom,45.0
1144,spain,21.0
1145,canada,23.0
1146,usa,55.0
1147,usa,49.0
1148,usa,79.0
1149,usa,1.0
1151,united kingdom,22.0
1152,usa,18.0
1153,spain,26.0
1154,usa,33.0
1156,brazil,23.0
1157,italy,34.0
1158,italy,36.0
1159,spain,25.0
1160,canada,18.0
1162,spain,31.0
1163,spain,32.0
1164,usa,35.0
1165,usa,52.0
1171,usa,32.0
1173,usa,22.0
1174,spain,32.0
1175,italy,27.0
1176,usa,29.0
1177,italy,26.0
1178,germany,9.0
1179,portugal,28.0
1180,usa,23.0
1181,mozambique,38.0
1182,indonesia,23.0
1183,italy,49.0
1185,usa,18.0
1186,australia,24.0
1187,australia,23.0
1188,usa,29.0
1190,spain,24.0
1191,usa,34.0
1194,italy,40.0
1195,usa,60.0
1196,spain,28.0
1197,germany,40.0
1198,germany,35.0
1199,argentina,28.0
1201,usa,22.0
1202,spain,43.0
1203,morocco,21.0
1204,usa,22.0
1205,canada,32.0
1207,afghanistan,38.0
1208,usa,52.0
1209,usa,33.0
1210,usa,28.0
1212,germany,24.0
1213,argentina,19.0
1214,germany,30.0
1215,united kingdom,17.0
1216,usa,24.0
1217,usa,58.0
1218,usa,27.0
1220,france,30.0
1221,italy,34.0
1222,italy,44.0
1224,estonia,42.0
1225,usa,22.0
1226,usa,14.0
1227,singapore,16.0
1228,germany,26.0
1229,usa,25.0
1230,france,34.0
1231,new zealand,13.0
1232,netherlands,50.0
1233,italy,27.0
1236,usa,25.0
1238,new zealand,42.0
1239,turkey,37.0
1240,usa,36.0
1241,usa,16.0
1243,usa,34.0
1244,usa,55.0
1245,netherlands,44.0
1246,usa,36.0
1247,germany,55.0
1250,usa,44.0
1251,usa,9.0
1252,usa,49.0
1253,colombia,22.0
1255,spain,23.0
1257,united kingdom,19.0
1264,usa,26.0
1265,canada,38.0
1266,usa,19.0
1267,usa,28.0
1268,clackamas,55.0
1269,usa,42.0
1270,usa,33.0
1271,canada,64.0
1272,portugal,56.0
1273,valladolid,45.0
1274,usa,40.0
1276,usa,38.0
1277,australia,25.0
1278,usa,25.0
1280,usa,34.0
1281,united kingdom,32.0
1282,germany,32.0
1283,usa,26.0
1284,usa,44.0
1285,germany,28.0
1286,usa,33.0
1287,usa,32.0
1288,usa,35.0
1289,usa,103.0
1290,portugal,26.0
1291,spain,34.0
1292,usa,29.0
1293,usa,18.0
1295,usa,41.0
1298,usa,20.0
1299,portugal,44.0
1300,usa,37.0
1301,nigeria,18.0
1302,united kingdom,17.0
1304,usa,47.0
1305,usa,17.0
1306,lisbon,33.0
1307,canada,19.0
1308,netherlands,30.0
1310,italy,42.0
1311,italy,46.0
1312,usa,23.0
1313,italy,30.0
1315,italy,49.0
1316,italy,18.0
1317,usa,63.0
1318,usa,33.0
1319,italy,16.0
1320,united kingdom,36.0
1321,romania,24.0
1322,usa,21.0
1323,italy,104.0
1327,italy,47.0
1328,usa,24.0
1329,colombia,26.0
1333,australia,36.0
1335,usa,30.0
1336,united kingdom,42.0
1337,canada,28.0
1338,usa,37.0
1339,australia,14.0
1340,usa,21.0
1341,united kingdom,34.0
1342,canada,28.0
1344,usa,46.0
1345,usa,39.0
1346,usa,25.0
1347,usa,26.0
1349,usa,28.0
1350,canada,14.0
1351,mexico,52.0
1352,italy,35.0
1353,usa,50.0
1354,australia,39.0
1356,spain,16.0
1357,australia,56.0
1358,australia,20.0
1359,usa,14.0
1360,usa,36.0
1362,spain,37.0
1363,usa,19.0
1364,canada,16.0
1365,usa,16.0
1366,usa,23.0
1367,australia,23.0
1369,canada,21.0
1370,usa,26.0
1371,usa,36.0
1373,lesotho,73.0
1374,usa,27.0
1375,usa,59.0
1376,usa,36.0
1379,italy,38.0
1380,canada,59.0
1381,united kingdom,33.0
1382,usa,33.0
1383,australia,32.0
1384,usa,12.0
1385,usa,31.0
1386,usa,23.0
1387,usa,28.0
1388,spain,29.0
1391,usa,20.0
1392,united kingdom,42.0
1393,spain,35.0
1394,argentina,28.0
1396,usa,35.0
1397,usa,36.0
1400,usa,39.0
1401,usa,53.0
1402,usa,58.0
1403,usa,26.0
1404,germany,28.0
1405,usa,53.0
1406,usa,16.0
1407,spain,28.0
1408,usa,35.0
1410,usa,22.0
1411,usa,74.0
1413,usa,69.0
1414,netherlands,27.0
1415,usa,47.0
1417,usa,42.0
1418,usa,45.0
1419,usa,51.0
1420,usa,27.0
1422,spain,23.0
1423,united kingdom,39.0
1425,netherlands,41.0
1426,usa,15.0
1427,usa,22.0
1428,malaysia,25.0
1429,usa,71.0
1430,turkey,15.0
1431,usa,49.0
1432,usa,38.0
1433,usa,54.0
1434,usa,37.0
1437,usa,21.0
1438,canada,27.0
1440,usa,56.0
1441,spain,34.0
1443,australia,30.0
1444,mexico,26.0
1445,italy,38.0
1446,spain,23.0
1447,spain,31.0
1449,italy,40.0
1450,sweden,24.0
1451,spain,22.0
1452,netherlands,36.0
1453,usa,34.0
1454,china,21.0
1455,usa,30.0
1456,netherlands,45.0
1457,usa,21.0
1458,usa,15.0
1459,germany,33.0
1460,egypt,34.0
1461,denmark,41.0
1462,usa,15.0
1463,usa,16.0
1464,usa,59.0
1465,australia,15.0
1468,germany,20.0
1470,yugoslavia,23.0
1471,usa,61.0
1472,germany,34.0
1473,usa,48.0
1474,taiwan,22.0
1476,united kingdom,33.0
1477,usa,18.0
1478,poland,25.0
1479,usa,30.0
1480,usa,47.0
1481,iran,22.0
1482,united kingdom,43.0
1483,usa,33.0
1486,australia,75.0
1487,usa,23.0
1488,usa,21.0
1491,united kingdom,22.0
1492,usa,31.0
1493,united kingdom,25.0
1494,denmark,25.0
1495,usa,53.0
1497,united kingdom,20.0
1498,china,28.0
1501,united kingdom,35.0
1502,usa,18.0
1503,usa,18.0
1507,china,26.0
1508,usa,75.0
1509,canada,48.0
1510,italy,28.0
1512,usa,22.0
1513,usa,40.0
1514,usa,23.0
1515,usa,27.0
1516,ireland,31.0
1518,usa,36.0
1519,usa,61.0
1520,usa,33.0
1521,usa,63.0
1522,canada,46.0
1523,usa,44.0
1524,usa,52.0
1525,australia,29.0
1526,usa,123.0
1527,spain,27.0
1528,slovakia,22.0
1529,usa,62.0
1530,usa,26.0
1531,mexico,42.0
1532,usa,34.0
1534,italy,18.0
1535,usa,69.0
1536,argentina,30.0
1537,bulgaria,26.0
1538,spain,29.0
1540,usa,20.0
1542,germany,44.0
1544,united kingdom,31.0
1549,canada,60.0
1551,spain,29.0
1553,india,23.0
1555,usa,29.0
1560,india,22.0
1561,usa,37.0
1562,usa,24.0
1563,usa,16.0
1565,usa,1.0
1566,usa,22.0
1568,usa,37.0
1569,usa,28.0
1571,spain,32.0
1572,usa,26.0
1574,usa,39.0
1575,british virgin islands,56.0
1576,usa,24.0
1577,usa,58.0
1579,nigeria,231.0
1580,usa,16.0
1581,china,26.0
1583,usa,48.0
1584,singapore,21.0
1587,germany,19.0
1588,united kingdom,17.0
1589,netherlands,50.0
1590,usa,15.0
1592,usa,50.0
1593,usa,59.0
1594,australia,27.0
1595,usa,14.0
1598,ireland,37.0
1600,canada,43.0
1601,usa,23.0
1602,usa,41.0
1603,usa,28.0
1604,usa,24.0
1605,malaysia,21.0
1606,usa,63.0
1607,usa,29.0
1609,canada,30.0
1610,usa,36.0
1611,usa,58.0
1612,germany,24.0
1613,new zealand,41.0
1614,iran,33.0
1616,usa,30.0
1617,usa,24.0
1619,usa,29.0
1620,usa,33.0
1621,united kingdom,30.0
1622,usa,42.0
1623,usa,41.0
1624,usa,22.0
1625,usa,59.0
1626,usa,36.0
1627,china,28.0
1628,nigeria,20.0
1629,canada,18.0
1630,usa,27.0
1631,portugal,16.0
1632,usa,16.0
1634,usa,33.0
1635,belgium,27.0
1636,germany,34.0
1637,argentina,24.0
1638,canada,18.0
1639,usa,30.0
1640,nigeria,33.0
1641,usa,22.0
1642,pakistan,25.0
1643,australia,24.0
1644,pakistan,22.0
1645,germany,22.0
1647,china,23.0
1648,france,67.0
1649,usa,41.0
1651,poland,36.0
1654,usa,49.0
1655,spain,48.0
1656,spain,29.0
1657,usa,59.0
1658,usa,23.0
1659,australia,41.0
1662,australia,25.0
1663,australia,50.0
1665,australia,21.0
1666,usa,20.0
1668,croatia,29.0
1669,usa,51.0
1670,netherlands,47.0
1671,italy,20.0
1672,usa,18.0
1675,usa,20.0
1677,australia,14.0
1678,spain,21.0
1679,italy,30.0
1680,italy,35.0
1681,nigeria,47.0
1682,australia,35.0
1684,canada,46.0
1685,ireland,38.0
1686,malaysia,1.0
1687,usa,47.0
1689,switzerland,23.0
1690,switzerland,35.0
1691,usa,50.0
1692,canada,19.0
1693,portugal,45.0
1694,indonesia,26.0
1695,london,48.0
1697,usa,23.0
1698,united kingdom,21.0
1699,united kingdom,48.0
1700,france,25.0
1701,italy,31.0
1702,porto,44.0
1704,canada,21.0
1707,spain,21.0
1708,sweden,47.0
1709,australia,57.0
1710,brazil,47.0
1711,yugoslavia,50.0
1712,usa,32.0
1713,mexico,24.0
1714,mexico,24.0
1715,portugal,49.0
1716,israel,29.0
1717,germany,36.0
1718,usa,28.0
1720,italy,75.0
1722,usa,17.0
1723,usa,40.0
1724,spain,25.0
1726,australia,49.0
1727,usa,34.0
1728,canada,23.0
1731,spain,15.0
1732,usa,32.0
1734,nigeria,22.0
1735,singapore,18.0
1736,nigeria,26.0
1737,usa,31.0
1738,usa,29.0
1739,usa,23.0
1740,usa,28.0
1741,usa,17.0
1742,usa,51.0
1743,usa,17.0
1744,usa,15.0
1746,egypt,26.0
1747,spain,26.0
1748,germany,29.0
1749,canada,124.0
1751,usa,64.0
1752,indonesia,22.0
1753,australia,33.0
1754,switzerland,29.0
1755,germany,24.0
1756,united kingdom,21.0
1757,indonesia,16.0
1758,italy,50.0
1760,italy,39.0
1763,usa,25.0
1764,nigeria,23.0
1766,canada,34.0
1767,romania,66.0
1769,italy,43.0
1771,indonesia,38.0
1772,spain,33.0
1774,singapore,26.0
1775,usa,14.0
1776,usa,25.0
1777,usa,19.0
1778,usa,25.0
1779,usa,33.0
1780,united kingdom,48.0
1783,usa,18.0
1784,poland,23.0
1786,malaysia,21.0
1787,germany,41.0
1788,brazil,39.0
1789,brazil,36.0
1790,usa,25.0
1791,usa,23.0
1792,usa,19.0
1794,usa,35.0
1795,usa,49.0
1796,usa,18.0
1798,romania,23.0
1800,usa,41.0
1801,usa,52.0
1803,usa,48.0
1804,usa,53.0
1806,japan,44.0
1808,romania,23.0
1810,spain,24.0
1811,spain,56.0
1814,germany,30.0
1815,spain,30.0
1816,india,18.0
1817,india,33.0
1818,spain,47.0
1819,australia,13.0
1820,usa,16.0
1821,switzerland,27.0
1822,spain,22.0
1823,turkey,25.0
1824,usa,18.0
1825,usa,34.0
1826,netherlands,23.0
1828,indonesia,25.0
1831,united kingdom,25.0
1832,usa,38.0
1833,belgium,42.0
1834,poland,24.0
1836,usa,37.0
1837,usa,44.0
1838,usa,55.0
1839,philippines,46.0
1840,usa,21.0
1841,usa,49.0
1842,portugal,25.0
1843,germany,32.0
1845,usa,34.0
1847,germany,56.0
1849,spain,27.0
1851,australia,9.0
1852,usa,42.0
