uid,isbn,rating
99564,0971880107,4
99805,0971880107,4
100108,0971880107,4
100434,0971880107,4
100682,0971880107,8
100995,0971880107,2
101315,0971880107,4
101538,0971880107,7
101861,0971880107,5
102238,0971880107,4
103343,0971880107,4
103394,0971880107,4
103554,0971880107,4
103666,0971880107,4
104466,0971880107,4
104486,0971880107,4
105695,0971880107,4
106082,0971880107,4
106656,0971880107,5
106764,0971880107,4
106943,0971880107,4
107100,0971880107,4
108386,0971880107,4
108805,0971880107,2
109235,0971880107,7
109426,0971880107,6
109451,0971880107,4
109823,0971880107,4
109893,0971880107,4
110175,0971880107,4
110579,0971880107,4
111162,0971880107,9
112432,0971880107,4
113345,0971880107,6
114288,0971880107,5
115087,0971880107,4
115571,0971880107,4
115714,0971880107,1
116325,0971880107,4
116742,0971880107,4
116993,0971880107,9
117030,0971880107,4
117990,0971880107,6
118024,0971880107,4
118235,0971880107,4
118289,0971880107,4
119299,0971880107,4
120081,0971880107,4
121263,0971880107,4
121321,0971880107,4
121323,0971880107,4
122335,0971880107,4
123114,0971880107,4
123168,0971880107,4
123182,0971880107,4
123751,0971880107,4
123822,0971880107,5
125889,0971880107,4
126851,0971880107,4
126983,0971880107,4
127121,0971880107,4
127382,0971880107,4
127521,0971880107,4
127619,0971880107,8
127766,0971880107,4
128096,0971880107,5
128241,0971880107,2
128354,0971880107,4
128504,0971880107,4
129759,0971880107,4
130524,0971880107,4
130594,0971880107,8
130915,0971880107,7
132143,0971880107,4
132242,0971880107,4
132520,0971880107,4
132633,0971880107,7
133353,0971880107,4
133645,0971880107,6
134059,0971880107,6
134888,0971880107,4
135880,0971880107,3
136225,0971880107,4
136293,0971880107,4
136846,0971880107,6
136993,0971880107,4
137632,0971880107,4
137981,0971880107,4
139562,0971880107,4
139589,0971880107,4
140437,0971880107,6
140486,0971880107,4
141209,0971880107,4
142377,0971880107,4
142511,0971880107,4
143259,0971880107,4
143682,0971880107,4
143957,0971880107,4
144124,0971880107,3
145241,0971880107,4
145355,0971880107,4
145667,0971880107,4
145682,0971880107,4
145710,0971880107,4
145761,0971880107,5
145918,0971880107,4
145999,0971880107,4
146121,0971880107,4
146381,0971880107,4
146638,0971880107,4
146659,0971880107,4
146735,0971880107,4
147648,0971880107,4
147654,0971880107,4
147993,0971880107,6
148051,0971880107,5
148800,0971880107,6
150092,0971880107,4
150915,0971880107,4
151482,0971880107,4
151562,0971880107,4
152439,0971880107,4
152997,0971880107,4
154197,0971880107,6
154413,0971880107,4
154423,0971880107,4
157489,0971880107,4
157783,0971880107,6
157990,0971880107,4
158601,0971880107,4
158663,0971880107,7
160241,0971880107,10
160629,0971880107,6
160760,0971880107,4
161068,0971880107,1
161153,0971880107,4
161966,0971880107,4
162243,0971880107,4
162646,0971880107,4
163196,0971880107,4
163609,0971880107,9
164781,0971880107,4
165366,0971880107,4
165587,0971880107,4
165637,0971880107,5
166498,0971880107,4
166648,0971880107,4
166755,0971880107,4
167157,0971880107,4
169014,0971880107,5
169123,0971880107,4
169773,0971880107,2
170795,0971880107,4
171013,0971880107,4
171177,0971880107,4
172235,0971880107,4
172787,0971880107,4
173433,0971880107,4
173441,0971880107,4
174657,0971880107,4
175040,0971880107,4
175234,0971880107,7
175307,0971880107,4
175610,0971880107,4
175891,0971880107,4
176023,0971880107,3
176162,0971880107,4
176525,0971880107,4
177250,0971880107,4
177294,0971880107,4
177367,0971880107,3
178329,0971880107,4
178895,0971880107,5
178978,0971880107,4
179454,0971880107,4
180149,0971880107,4
180151,0971880107,5
181122,0971880107,4
181293,0971880107,7
181526,0971880107,4
181704,0971880107,7
182215,0971880107,4
182339,0971880107,4
183346,0971880107,4
183418,0971880107,4
183568,0971880107,4
184028,0971880107,4
184924,0971880107,2
185210,0971880107,4
185726,0971880107,4
185997,0971880107,4
187257,0971880107,4
187704,0971880107,4
187745,0971880107,8
189540,0971880107,4
190175,0971880107,3
191075,0971880107,4
191108,0971880107,4
191214,0971880107,2
193117,0971880107,4
193634,0971880107,4
193873,0971880107,6
193926,0971880107,4
194206,0971880107,6
194260,0971880107,9
194423,0971880107,4
195762,0971880107,4
196910,0971880107,4
197660,0971880107,4
197792,0971880107,3
197984,0971880107,4
198835,0971880107,4
199063,0971880107,4
199248,0971880107,4
199415,0971880107,4
199545,0971880107,4
200374,0971880107,4
201137,0971880107,5
201702,0971880107,4
202359,0971880107,7
203047,0971880107,2
203516,0971880107,4
203669,0971880107,4
204506,0971880107,4
205019,0971880107,6
205753,0971880107,6
207184,0971880107,4
207319,0971880107,4
207697,0971880107,4
207805,0971880107,4
208033,0971880107,4
208449,0971880107,4
208863,0971880107,4
209651,0971880107,4
210215,0971880107,4
210705,0971880107,4
210906,0971880107,4
210948,0971880107,4
211720,0971880107,5
212546,0971880107,4
213353,0971880107,4
214155,0971880107,4
214751,0971880107,4
216133,0971880107,4
216262,0971880107,5
216566,0971880107,4
217323,0971880107,4
217929,0971880107,4
218089,0971880107,4
218502,0971880107,4
218867,0971880107,3
219332,0971880107,4
219558,0971880107,4
219652,0971880107,4
219752,0971880107,7
222277,0971880107,7
223091,0971880107,7
223950,0971880107,4
224124,0971880107,4
224498,0971880107,4
225727,0971880107,1
225832,0971880107,2
226022,0971880107,7
226422,0971880107,3
226925,0971880107,4
227496,0971880107,4
228248,0971880107,6
228750,0971880107,4
228790,0971880107,5
228943,0971880107,9
229568,0971880107,3
229635,0971880107,1
230047,0971880107,4
230246,0971880107,4
230436,0971880107,1
230531,0971880107,3
230826,0971880107,4
231190,0971880107,5
231461,0971880107,4
231761,0971880107,4
232555,0971880107,2
232966,0971880107,4
233579,0971880107,4
233857,0971880107,2
234587,0971880107,6
234778,0971880107,4
234927,0971880107,2
235538,0971880107,8
235996,0971880107,4
236133,0971880107,4
236296,0971880107,5
236918,0971880107,8
237283,0971880107,7
237399,0971880107,4
237767,0971880107,4
237838,0971880107,4
237842,0971880107,4
238508,0971880107,4
239015,0971880107,4
240062,0971880107,4
240335,0971880107,4
240510,0971880107,4
240930,0971880107,4
241291,0971880107,1
241430,0971880107,1
241545,0971880107,4
241889,0971880107,4
242519,0971880107,6
242961,0971880107,4
242982,0971880107,4
243522,0971880107,4
243878,0971880107,4
244470,0971880107,4
244871,0971880107,4
244886,0971880107,5
244894,0971880107,4
245618,0971880107,4
245816,0971880107,4
245829,0971880107,4
246344,0971880107,7
247185,0971880107,6
248724,0971880107,4
248784,0971880107,4
248975,0971880107,4
249997,0971880107,4
250321,0971880107,4
250513,0971880107,4
251216,0971880107,4
251478,0971880107,4
251808,0971880107,4
253652,0971880107,4
253841,0971880107,4
254066,0971880107,4
254189,0971880107,4
254534,0971880107,4
254589,0971880107,6
255320,0971880107,4
256839,0971880107,4
257069,0971880107,7
257439,0971880107,4
257878,0971880107,8
258117,0971880107,4
258675,0971880107,1
258837,0971880107,4
258972,0971880107,5
258982,0971880107,4
259337,0971880107,4
259526,0971880107,4
259999,0971880107,4
260366,0971880107,4
260646,0971880107,6
261443,0971880107,4
261577,0971880107,4
261860,0971880107,4
261881,0971880107,4
262479,0971880107,6
262746,0971880107,4
262934,0971880107,2
262964,0971880107,4
263214,0971880107,1
263331,0971880107,4
264415,0971880107,3
264680,0971880107,2
264723,0971880107,4
265499,0971880107,7
266091,0971880107,4
266230,0971880107,4
266260,0971880107,2
267098,0971880107,4
267254,0971880107,4
267382,0971880107,6
267727,0971880107,9
267881,0971880107,2
267954,0971880107,4
268009,0971880107,4
268364,0971880107,4
268541,0971880107,4
268874,0971880107,4
269347,0971880107,4
270131,0971880107,3
272250,0971880107,6
272327,0971880107,4
272557,0971880107,4
272780,0971880107,6
273224,0971880107,4
273780,0971880107,4
274263,0971880107,4
274558,0971880107,6
276113,0971880107,7
277530,0971880107,4
277932,0971880107,4
278176,0971880107,9
278373,0971880107,4
278514,0971880107,4
16,0345402871,9
14801,0345402871,7
22463,0345402871,6
26722,0345402871,7
35945,0345402871,7
36506,0345402871,8
48965,0345402871,7
51438,0345402871,7
67244,0345402871,8
89027,0345402871,8
108474,0345402871,7
110291,0345402871,7
123741,0345402871,7
145474,0345402871,7
180320,0345402871,7
204192,0345402871,9
216682,0345402871,6
227287,0345402871,7
231130,0345402871,6
233004,0345402871,5
233466,0345402871,8
234162,0345402871,5
255189,0345402871,8
267377,0345402871,7
16,0345417623,8
1376,0345417623,8
4556,0345417623,7
8682,0345417623,8
12565,0345417623,7
13726,0345417623,7
16799,0345417623,7
17796,0345417623,8
18583,0345417623,8
23047,0345417623,7
24144,0345417623,8
24278,0345417623,7
31620,0345417623,7
36506,0345417623,8
39233,0345417623,9
42083,0345417623,10
42546,0345417623,7
45291,0345417623,8
45954,0345417623,8
49294,0345417623,5
52845,0345417623,8
53604,0345417623,10
66096,0345417623,6
73910,0345417623,8
94677,0345417623,7
103176,0345417623,9
105925,0345417623,10
111083,0345417623,7
112855,0345417623,8
114317,0345417623,7
119205,0345417623,9
120749,0345417623,7
121233,0345417623,10
121517,0345417623,7
128341,0345417623,7
130878,0345417623,8
150518,0345417623,7
152015,0345417623,8
155823,0345417623,8
159038,0345417623,8
165627,0345417623,8
176720,0345417623,8
180320,0345417623,8
187374,0345417623,8
191214,0345417623,8
191425,0345417623,8
191752,0345417623,8
194112,0345417623,9
194738,0345417623,7
204149,0345417623,10
206067,0345417623,7
219250,0345417623,7
221036,0345417623,8
221900,0345417623,8
227305,0345417623,6
227633,0345417623,9
231172,0345417623,10
233205,0345417623,8
234113,0345417623,8
242473,0345417623,8
245948,0345417623,8
251859,0345417623,7
252020,0345417623,7
254303,0345417623,6
273939,0345417623,8
23918,0425099148,4
91839,0425099148,10
185483,0425099148,6
6884,0553278398,8
67393,0553278398,8
82188,0553278398,9
128142,0553278398,8
13594,0684823802,7
19,0375759778,7
38502,0375759778,8
173180,0375759778,8
212788,0375759778,9
20,0425163091,9
95703,0425163091,9
23,0375406328,6
122519,0375406328,5
277641,0375406328,7
26,0446310786,10
4794,0446310786,8
15720,0446310786,10
21402,0446310786,10
24518,0446310786,8
29981,0446310786,7
30489,0446310786,10
32089,0446310786,7
32528,0446310786,8
43113,0446310786,10
46887,0446310786,8
48653,0446310786,8
53117,0446310786,10
61888,0446310786,9
68861,0446310786,10
72949,0446310786,8
75064,0446310786,8
76505,0446310786,7
87216,0446310786,9
90046,0446310786,9
92946,0446310786,8
104948,0446310786,10
110123,0446310786,8
112570,0446310786,6
117781,0446310786,9
118164,0446310786,8
119341,0446310786,8
126377,0446310786,8
126840,0446310786,8
129641,0446310786,10
129790,0446310786,8
137746,0446310786,7
137940,0446310786,8
141023,0446310786,5
144791,0446310786,10
157851,0446310786,8
162664,0446310786,8
177989,0446310786,5
178953,0446310786,9
204100,0446310786,10
204494,0446310786,10
204762,0446310786,9
205412,0446310786,8
207883,0446310786,8
211359,0446310786,8
217742,0446310786,8
219650,0446310786,8
221135,0446310786,8
221904,0446310786,7
224093,0446310786,9
227494,0446310786,9
228504,0446310786,9
229440,0446310786,8
231022,0446310786,8
238390,0446310786,6
239076,0446310786,8
245313,0446310786,8
249174,0446310786,9
253407,0446310786,8
269556,0446310786,8
276953,0446310786,10
277743,0446310786,9
26,0449005615,9
367,0449005615,9
2771,0449005615,8
16791,0449005615,8
27669,0449005615,8
44621,0449005615,8
61612,0449005615,8
61888,0449005615,9
81640,0449005615,8
93514,0449005615,7
93909,0449005615,8
106257,0449005615,8
119536,0449005615,8
121257,0449005615,8
121991,0449005615,10
125222,0449005615,7
128541,0449005615,8
131767,0449005615,9
132686,0449005615,10
144412,0449005615,8
154026,0449005615,8
157103,0449005615,8
164287,0449005615,8
167462,0449005615,8
170224,0449005615,9
170620,0449005615,8
174807,0449005615,10
177296,0449005615,8
180314,0449005615,7
192762,0449005615,9
198334,0449005615,10
198650,0449005615,10
199166,0449005615,9
208463,0449005615,8
209062,0449005615,8
226665,0449005615,9
232980,0449005615,9
234480,0449005615,8
242989,0449005615,4
250724,0449005615,8
251253,0449005615,10
257900,0449005615,7
257916,0449005615,10
269280,0449005615,9
107517,0060168013,9
110565,0060168013,10
149667,0060168013,8
150828,0060168013,10
184420,0060168013,9
187427,0060168013,9
192292,0060168013,10
215272,0060168013,9
223096,0060168013,8
36,067176537X,8
157475,067176537X,8
128690,0061099686,6
252348,0061099686,6
88118,0671888587,8
91745,0671888587,8
132752,0671888587,8
164338,0671888587,2
250295,0671888587,5
42,0553582747,7
5998,0553582747,7
49377,0553582747,8
117937,0553582747,6
125323,0553582747,7
127321,0553582747,6
132690,0553582747,7
143517,0553582747,3
147607,0553582747,8
155439,0553582747,10
169065,0553582747,10
206625,0553582747,6
214601,0553582747,7
248594,0553582747,8
250981,0553582747,5
268564,0553582747,7
44,0425182908,5
15993,0425182908,5
22579,0425182908,5
32798,0425182908,5
35788,0425182908,9
38603,0425182908,5
79380,0425182908,5
79715,0425182908,5
82842,0425182908,5
85164,0425182908,6
85955,0425182908,6
88316,0425182908,6
128742,0425182908,5
130460,0425182908,5
177854,0425182908,6
194513,0425182908,5
208541,0425182908,5
223748,0425182908,2
231603,0425182908,8
232932,0425182908,6
236909,0425182908,8
44,042518630X,5
25391,042518630X,2
29257,042518630X,8
42256,042518630X,6
57156,042518630X,7
111470,042518630X,7
124372,042518630X,7
146906,042518630X,10
186447,042518630X,4
245542,042518630X,7
271604,042518630X,7
44,0440223571,8
230900,0440223571,7
244455,0440223571,7
44,0812523873,5
44,0842342702,9
6254,0842342702,10
45155,0842342702,9
45857,0842342702,9
46500,0842342702,9
55729,0842342702,8
63184,0842342702,8
93367,0842342702,9
110929,0842342702,8
125045,0842342702,8
134401,0842342702,8
145624,0842342702,8
164783,0842342702,9
166145,0842342702,9
173538,0842342702,10
173901,0842342702,9
178502,0842342702,9
231856,0842342702,3
234077,0842342702,9
251501,0842342702,10
261265,0842342702,8
51,0440225701,9
1619,0440225701,9
17337,0440225701,10
19508,0440225701,8
23191,0440225701,8
32524,0440225701,9
35531,0440225701,8
41162,0440225701,8
41580,0440225701,8
50320,0440225701,8
52328,0440225701,10
60229,0440225701,8
74637,0440225701,8
76795,0440225701,8
79041,0440225701,8
94237,0440225701,7
96514,0440225701,8
101341,0440225701,5
101744,0440225701,5
107671,0440225701,8
110847,0440225701,7
115675,0440225701,8
122116,0440225701,8
123809,0440225701,10
128639,0440225701,8
136401,0440225701,8
145423,0440225701,8
167310,0440225701,8
173560,0440225701,8
176577,0440225701,9
180903,0440225701,10
200386,0440225701,10
203274,0440225701,10
212119,0440225701,7
217873,0440225701,8
224427,0440225701,9
228249,0440225701,8
232316,0440225701,6
233670,0440225701,8
236392,0440225701,8
243488,0440225701,5
243883,0440225701,8
255175,0440225701,8
268012,0440225701,8
268244,0440225701,10
271273,0440225701,8
274361,0440225701,8
278333,0440225701,10
36442,0380715899,8
91736,0380715899,7
96107,0380715899,8
110693,0964778319,10
134408,0679810307,10
178945,0679810307,5
241981,0679865691,4
68,1853262404,9
25340,0312970242,7
238865,0312970242,7
228889,1853260053,10
259893,1853260053,6
73,0060938412,5
75,0140067477,8
24140,0140067477,10
34222,0140067477,10
63755,0140067477,8
75892,0140067477,8
83116,0140067477,8
103174,0140067477,8
103526,0140067477,8
110599,0140067477,9
132550,0140067477,7
135301,0140067477,8
148452,0140067477,8
153525,0140067477,8
181507,0140067477,7
218318,0140067477,7
228433,0140067477,10
235109,0140067477,9
238396,0140067477,7
240454,0140067477,8
246625,0140067477,10
252982,0140067477,8
256384,0140067477,9
270919,0140067477,9
272504,0140067477,8
75,0345465083,7
9290,0345465083,7
11648,0345465083,8
12549,0345465083,8
28377,0345465083,7
30997,0345465083,7
36124,0345465083,7
38405,0345465083,7
40317,0345465083,7
43321,0345465083,6
48764,0345465083,7
64880,0345465083,7
71116,0345465083,7
79674,0345465083,7
80404,0345465083,7
82885,0345465083,8
98097,0345465083,10
118068,0345465083,7
125009,0345465083,7
139715,0345465083,7
174709,0345465083,8
194182,0345465083,7
194305,0345465083,5
208890,0345465083,7
210671,0345465083,9
247795,0345465083,7
75,0451625889,2
75,1558531025,5
60185,1558531025,8
76455,1558531025,5
88103,1558531025,7
98882,1558531025,5
145296,1558531025,6
175443,1558531025,5
233642,1558531025,9
237928,1558531025,5
77,0441783589,8
32914,0441783589,7
43633,0441783589,9
45174,0441783589,8
49845,0441783589,7
80301,0441783589,9
109577,0441783589,9
138631,0441783589,7
142799,0441783589,8
158363,0441783589,7
169185,0441783589,6
203955,0441783589,8
229335,0441783589,7
230011,0441783589,8
246263,0441783589,9
255471,0441783589,7
79,1569871213,9
81,0375410538,5
8248,0375410538,8
36152,0375410538,8
52112,0375410538,7
56403,0375410538,6
64530,0375410538,10
90782,0375410538,7
113823,0375410538,6
223605,0375410538,8
232262,0375410538,9
247252,0375410538,8
82,0966986105,10
88,0553062042,7
91,0316769487,9
280,0316769487,7
11507,0316769487,9
12966,0316769487,9
17335,0316769487,7
17459,0316769487,7
19127,0316769487,8
19132,0316769487,8
20605,0316769487,10
27349,0316769487,10
41360,0316769487,8
46341,0316769487,8
50805,0316769487,8
55914,0316769487,7
57765,0316769487,7
68373,0316769487,7
69661,0316769487,4
72244,0316769487,7
75064,0316769487,7
75242,0316769487,7
75322,0316769487,7
77459,0316769487,10
77906,0316769487,8
83279,0316769487,8
84289,0316769487,10
86290,0316769487,8
90727,0316769487,8
99159,0316769487,7
100510,0316769487,7
101046,0316769487,8
104425,0316769487,10
108394,0316769487,10
112570,0316769487,8
113880,0316769487,8
114128,0316769487,7
117073,0316769487,5
118167,0316769487,7
127317,0316769487,9
132688,0316769487,7
134937,0316769487,8
135418,0316769487,8
142509,0316769487,7
151090,0316769487,7
157394,0316769487,7
165176,0316769487,8
165428,0316769487,7
173494,0316769487,7
174434,0316769487,6
178742,0316769487,7
185111,0316769487,8
185339,0316769487,10
189939,0316769487,9
197644,0316769487,10
199356,0316769487,10
202417,0316769487,9
205512,0316769487,7
206389,0316769487,8
207775,0316769487,7
208886,0316769487,8
209882,0316769487,8
212486,0316769487,8
213222,0316769487,7
220736,0316769487,5
223364,0316769487,7
225730,0316769487,7
228065,0316769487,3
232195,0316769487,7
239502,0316769487,8
240531,0316769487,7
249578,0316769487,8
250503,0316769487,8
258566,0316769487,10
266024,0316769487,10
269556,0316769487,7
271649,0316769487,7
272910,0316769487,7
273711,0316769487,7
274932,0316769487,7
275184,0316769487,7
276372,0316769487,10
276652,0316769487,7
277698,0316769487,6
95,0679429220,7
125,0679429220,10
14827,0679429220,7
27760,0679429220,8
36484,0679429220,8
52008,0679429220,7
55505,0679429220,8
60259,0679429220,8
62478,0679429220,8
76136,0679429220,8
87058,0679429220,8
106036,0679429220,6
107286,0679429220,7
120147,0679429220,7
132157,0679429220,9
132648,0679429220,7
139548,0679429220,6
155331,0679429220,7
168533,0679429220,7
188026,0679429220,8
192165,0679429220,8
194642,0679429220,8
196875,0679429220,7
199390,0679429220,8
213526,0679429220,7
218491,0679429220,7
229003,0679429220,7
238647,0679429220,8
240332,0679429220,8
252694,0679429220,7
258266,0679429220,8
258403,0679429220,8
262421,0679429220,7
271434,0679429220,8
97,0671867156,7
2528,0671867156,10
36912,0671867156,8
102616,0671867156,10
124317,0671867156,10
138281,0671867156,8
178112,0671867156,9
187236,0671867156,8
244574,0671867156,9
257701,0671867156,8
7364,0451166892,8
9652,0451166892,9
16782,0451166892,10
17707,0451166892,8
34222,0451166892,9
39116,0451166892,8
42656,0451166892,8
59712,0451166892,10
67133,0451166892,8
67800,0451166892,8
74208,0451166892,9
100167,0451166892,8
120350,0451166892,10
132303,0451166892,9
155117,0451166892,7
185280,0451166892,8
193920,0451166892,9
194016,0451166892,5
196585,0451166892,10
196724,0451166892,8
205571,0451166892,7
214252,0451166892,9
227062,0451166892,8
230173,0451166892,8
234530,0451166892,10
243117,0451166892,9
245559,0451166892,8
276755,0451166892,5
61575,067976397X,7
72389,067976397X,7
85619,067976397X,8
115231,067976397X,9
143400,067976397X,7
252574,067976397X,8
255517,067976397X,7
277647,067976397X,8
4821,0786868716,6
15780,0786868716,9
19433,0786868716,6
21494,0786868716,9
28705,0786868716,9
40745,0786868716,8
42622,0786868716,8
50985,0786868716,8
58022,0786868716,8
59193,0786868716,8
61888,0786868716,8
87632,0786868716,9
91456,0786868716,8
92048,0786868716,9
92826,0786868716,10
103493,0786868716,8
104166,0786868716,8
108711,0786868716,6
111539,0786868716,9
123418,0786868716,8
124184,0786868716,8
124563,0786868716,10
130263,0786868716,8
131845,0786868716,8
134234,0786868716,10
135084,0786868716,8
135472,0786868716,5
135830,0786868716,10
141717,0786868716,8
142487,0786868716,10
142759,0786868716,9
152481,0786868716,10
157511,0786868716,8
158412,0786868716,8
158694,0786868716,8
159648,0786868716,10
160670,0786868716,9
162313,0786868716,8
164401,0786868716,9
173342,0786868716,9
175832,0786868716,10
176625,0786868716,8
183555,0786868716,8
183745,0786868716,5
187003,0786868716,9
193935,0786868716,10
199870,0786868716,9
206627,0786868716,9
209755,0786868716,8
212877,0786868716,10
213973,0786868716,8
216643,0786868716,10
225255,0786868716,10
226681,0786868716,8
229010,0786868716,8
230602,0786868716,8
233927,0786868716,5
241799,0786868716,9
242548,0786868716,7
248062,0786868716,10
254704,0786868716,8
257636,0786868716,8
262521,0786868716,8
267117,0786868716,10
269702,0786868716,6
107,0671864769,8
110,0440222303,6
6906,0446608653,7
24622,0446608653,7
242457,0446608653,7
245162,0446608653,7
54416,0451208080,6
93198,0451208080,10
186958,0451208080,9
176340,0553584383,6
129,0316735736,7
45114,0380619458,4
48111,0380619458,9
121273,0380619458,8
158662,0380619458,8
14535,0743249992,8
230058,0743249992,10
141,0840734530,10
144,0425184226,7
35097,0425184226,8
65954,0425184226,8
67077,0425184226,8
98230,0425184226,6
102248,0425184226,7
105908,0425184226,5
114341,0425184226,9
121087,0425184226,8
178854,0425184226,8
182382,0425184226,8
235780,0425184226,8
244659,0425184226,8
151,0375500766,10
49253,0060929790,7
117215,0060929790,7
131026,0060929790,7
196601,0060929790,7
203916,0060929790,7
559,0060976845,8
4954,0060976845,7
10959,0060976845,9
13503,0060976845,10
15330,0060976845,8
34868,0060976845,7
37523,0060976845,9
41580,0060976845,10
47961,0060976845,8
