uid,isbn,cluster,summary
136474,0446400165,3,inspector felse investigates suspicious deaths village church
136474,0345343638,3,flinx commonwealth amazing snake pip protect beautiful scientist gang interplanetary assassins determined put research inhospitable longtunnel reissue
224980,0345343638,0,flinx commonwealth amazing snake pip protect beautiful scientist gang interplanetary assassins determined put research inhospitable longtunnel reissue
99638,156971620X,3,dark horse manga harlequin books delighted present shining line books marry successful phenomenon hit bookstores - bestselling harlequin romance fiction female-friendly japanese manga
256,0374270325,0,a man full 1998 national book award finalist fiction
43469,0374270325,0,a man full 1998 national book award finalist fiction
157990,0374270325,0,a man full 1998 national book award finalist fiction
178945,0374270325,2,a man full 1998 national book award finalist fiction
221717,0060977477,0,the number-one new york times best-seller recounts dramatic story fishing boat andrea gail lost north atlantic extraordinarily violent storm reprint national adpromo tour nyt
300,0345435869,3,the authors readers behind-the-scenes tour belgariad malloreon saga companion stories presenting extensive background materials compiled preparation epic adventure
97232,0449912302,0,after day spent staring computer monitor book kind screen saver brainquot
130678,0345371984,2,the authors provide account journey world search endangered animals including kakapo new zealand white rhinos zaire komodo lizard
55216,1573228737,3,visiting grim victorian london prison part rehabilitative charity work upper-class suicide survivor margaret prior drawn world enigmatic spiritualist inmate selina dawes persuaded escape
338,0380711109,3,here time volume lopez masterpieces quotriver notes quotdesert notes
227961,038542471X,0,present suicide new orleans defense attorney young boy hires lawyer protect sharing dead attorney shocking words hiding dangerous information 500000 printing 500
241641,038542471X,0,present suicide new orleans defense attorney young boy hires lawyer protect sharing dead attorney shocking words hiding dangerous information 500000 printing 500
241641,0312209576,0,whan campaign staffer native woman running alaska state senator murdered kate shugak tracks murderer unearths connection murder quotgood-timequot girl 1915 klondike gold rush
120733,067103619X,5,two fleeing disasters past lives land rural new hampshire town search love fulfillment other arms original
207310,0875421288,3,the book explains make incenses oils ointments inks tinctures herb baths bath salts brews ritual soaps powders
42770,0812504208,3,this edition mark twain the adventures tom sawyer includes biographical note preface afterword keith neilson
42770,0812504380,3,a millionaire spoiled learns lesson saved drowning fishing schooner made share crude life hard work taunting rescuers
42770,0786880708,3,ten years book continues change lives in honor book 10th anniversary hyperion proud releasing book afterword author share wonderful book larger audience
42770,0448090716,3,curiosity nan hall small passage led kitchen as opened trapdoor front huge fireplace slowly closing 39bert39 nan screamed
42770,0671750461,3,discusses proper decisions lead healthy fulfilling life examining areas school parents dating drugs
42770,1572313153,3,with book powerpoint 97 you39ll learn create deliver print slide presentations apply modify templates implement color schemes create edit graphs use office multimedia files review conference presentations
42770,1853262420,3,recounts triumphs defeats greek trojan heroes trojan war destruction troy combined greek armies
95013,0452279690,0,four women lives converge unexpectedly forced terms past future
400,0060804157,3,and feminine components man personality robert a johnson explores questions edition he updated reflect subjects book jacket
206666,0375726403,2,whiting heir faded logging textile legacy evocative author nobody fool reader guide available reprint 150000 printing
73225,0425156842,0,a history philosophy chronicles story teenaged girl discovers mysterious letter mailbox embarks journey philosophical discovery taking socrates sartre reprint
181474,0425156842,0,a history philosophy chronicles story teenaged girl discovers mysterious letter mailbox embarks journey philosophical discovery taking socrates sartre reprint
73225,0671552856,0,the story wise women named zena born eons ranges african savanna million years ago shores red sea limestone caves pyrenees mountains
183070,0679733825,3,this book introduces female perspectives nature
225576,0679733825,3,this book introduces female perspectives nature
262713,0679733825,3,this book introduces female perspectives nature
262713,0679748253,3,the life indian maiden course homosexual affair woven bizarre religious epic
56165,0679748253,3,the life indian maiden course homosexual affair woven bizarre religious epic
172007,0679748253,3,the life indian maiden course homosexual affair woven bizarre religious epic
439,0740700235,0,quotpeople offer advice askquot reveals sailing entrepreneur marti mcmahon life messages inspiration woman spirit
73716,081296666X,3,pel finds ordinary life relationship girlfriend ursula turned upside boss disappearance leaving pel amid chaotic web stolen money missing colleagues chinese mafiosi
73716,0156007479,3,drawn prostitution mid-1700s london early age dreams affluent lifestyle mary saunders takes refuge seamstress middle-class household mrs
90424,0156007479,3,drawn prostitution mid-1700s london early age dreams affluent lifestyle mary saunders takes refuge seamstress middle-class household mrs
219615,0156007479,3,drawn prostitution mid-1700s london early age dreams affluent lifestyle mary saunders takes refuge seamstress middle-class household mrs
469,0674511255,3,we lincoln steadfast dedication emancipation proclamation fate republic future million black americans hung balancerichly illustrated nuanced accessible written
188704,0316171107,0,after buying reselling valuable book jill find current owner lose life assassin demands return book
131179,0140286276,0,the deep end ocean story family redeemed reborn-one stun pain surprise hope unforgettable make jaws ache anxiety haunt heart
243231,0385335407,3,trapped loveless marriage frenchwoman isabelle cares daughter dangerously pursuing secret friendship american power broker bill robinson car accident tests growing love 1000000
145377,0486272664,3,great title poem quotkubla khanquot quotchristabelquot 20 sonnets lyrics odes quotsonnet to friend asked i felt nurse presented infant mequot quotfrost midnightquot quotthe nightingalequot quotthe pains sleepquot quotto
145377,088295055X,3,edited samuel h beer key selections capital the eighteenth brumaire louis bonaparte volume features especially helpful introduction serves guide marxist political economic theory
22410,0553107305,3,asked cater event over-privileged quotelite shoppersquot westside mall colorado chef goldy b schulz finds embroiled investigation involving psychopathic serial killer whodunit accompanied ten original
496,0553564528,0,as prosecutor ellen north prepares arrested abduction josh kirkwood small hamlet deer lake minnesota confronts sensation-driven news media lover defense attorney
170708,0849943728,0,w publishing group launching powerful distinct hardcover editions -- black cover version white cover version
255411,1573225789,2,an african american describes life white mother black father reflecting mother contributions life confusion identity
241467,0345353625,3,a rich compelling story generations magnificent women celebrating love pride sacrifice devotion unheralded triumph women lives
261807,0020427859,0,three children holiday cornwall find ancient manuscript sends dangerous quest grail reveal story king arthur
220295,0345369068,3,sheriff spencer arrowood investigates threatening messages peggy muryan famous folksinger 1960s returned hometown hamelin tennessee search peace quiet
202783,0345413377,0,lyra pays painful price walk land dead battle kingdom heaven rages ultimately unlocks secret dust
202783,0345358805,0,if impossible place zandramas arrived lose-forever here david eddings39 bestselling the malloreon continues epic quest begins lands strange peoples
186775,0425115844,0,it sister mary miscarriage left mentally unbalanced joanne hears haunting sound child crying
142545,0449000265,0,illuminates body healing systems ways optimize power individual systems
91632,0553575538,3,while recovering traumatic attempt police catch killer psychic cassie neill mind filled thoughts psychopath struggles place evil thoughts discovers
165406,0553575538,3,while recovering traumatic attempt police catch killer psychic cassie neill mind filled thoughts psychopath struggles place evil thoughts discovers
177017,0553575538,3,while recovering traumatic attempt police catch killer psychic cassie neill mind filled thoughts psychopath struggles place evil thoughts discovers
196605,0553575538,3,while recovering traumatic attempt police catch killer psychic cassie neill mind filled thoughts psychopath struggles place evil thoughts discovers
258908,0553575538,3,while recovering traumatic attempt police catch killer psychic cassie neill mind filled thoughts psychopath struggles place evil thoughts discovers
165406,0451176065,3,the suspicious death morgan stroud science master st jude school boys proclaimed case spontaneous combustion dr jean montrose discovers by author intensive care original
196605,0709064497,3,featuring characters 39heartbeat39 including sergeant craddock garageman bernie scripps rural drama laced humour pathos large gooseberries
219501,0709064497,3,featuring characters 39heartbeat39 including sergeant craddock garageman bernie scripps rural drama laced humour pathos large gooseberries
126204,0553576801,0,original lisa gardner sold 20 years in 1993 graduated magna laude university pennsylvania
191007,0553576925,0,awaking lengthy coma accident victim faith parker memory near-fatal crash previous life friend journalist dinah leighton mysteriously vanished visiting hospital
76992,0688169678,3,the award-winning abc-tv anchorwoman npr news analyst explores pressing issues confronting women edge millennium drawing experiences exceptional women
80724,0688169678,3,the award-winning abc-tv anchorwoman npr news analyst explores pressing issues confronting women edge millennium drawing experiences exceptional women
76992,0886776775,3,a collection tales highlights adventures famous infamous enchantresses includes works authors melanie rawn jennifer roberson harry turtledove andre norton tanith lee original
71549,0689710879,3,a group children cornwall including drew siblings will stanton mysterious boy named bran drawn dangerous battle forces light dark
145648,0689710879,3,a group children cornwall including drew siblings will stanton mysterious boy named bran drawn dangerous battle forces light dark
21639,0689710895,0,in volume the dark is rising sequence will stanton visiting wales swept desperate quest find golden harp awaken ancient sleepers
271494,0689711522,0,a group children cornwall including drew siblings will stanton mysterious boy named bran drawn dangerous battle forces light dark
271494,0671689711,0,when american heiress claire willoughby travels bramley castle visit fiance scottish duke discovers shocking secrets family join
271494,0590433180,0,jane invitation witness making greenwitch begins series sinister events brothers old ones recover grail stolen dark
30768,0385335679,3,at preemption mysterious apartment building prophetic doorman named sender destinies offbeat group tenants intertwine lives characters -- james branch shy accountant attached building
40146,0821770209,3,casey remembers past full sexual abuse neglect realizing unconscious mental institution past ten years strange behavior prompts investigate torn childhood
75939,0446364193,5,discover classic thriller launched 1 detective series past twenty-five years pbs quot100 great american readsquot alex cross homicide detective phd psychology
75939,0399148248,5,while working restoration manet hall declan fitzgerald begins visions past filled sorrow terror turns angelina simone distract eerie events realizing angelina
155501,0156013967,3,an anthology ten short stories explores complex bonds fathers daughters debut fiction collection includes title story young woman attends father deathbed reminisces
94133,1573229148,3,the best-selling author the heart aroused assesses workplace terms opportunity rediscovering shaping nurturing personal lives applies stages holy pilgrimage process seeking one identity
602,0061080519,3,caitlin macbride wishes sunset love john wesley hawkins walks mists life forever -- finds john english spy assigned sabotage irish homeland
273121,193156146X,0,the love story henry claire lives punctuated henry disappearance different points time -- back visit claire young woman
620,0140029400,0,an exiled politician caribbean london writing life story
620,0449207757,0,the daughter nonbelieving jewish mother nonbelieving gentile father -- dedicated communists -- davita chandal growing world suffers spanish civil war world war ii turns judaism consolation
13063,0140048944,3,quotin 1970s shiva naipaul travelled africa visiting kenya tanzania zambia months
23469,0140107649,3,gilbert selwyn unemployed gay schemer moira finch demonically conniving fiancee engage friends families wits plan stage wedding make fortune wedding gifts
23469,0140178139,3,when closest friend benjamin sachs accidentally blows wisconsin road peter aaron attempts piece events led ben tragic demise determine reason death
95279,0684874318,3,the epic saga generations american family stassos family periods ambition love violence change focusing turbulent lives stassos children
197362,0684874318,3,the epic saga generations american family stassos family periods ambition love violence change focusing turbulent lives stassos children
270228,0061092606,3,jim chee joe leaphorn investigate crime involves murder pueblo tribal official death schoolteacher disappearance tribal memento
270228,0345415094,3,after rushing aid lovely young woman hires find missing husband new york detective kinky friedman finds target fbi find dodging bullets washington dc
260346,0451450256,3,fictionfantasy
61834,0679801146,3,eleven-year-old alanna aspires knight girl disguises boy royal page learning hard lessons path high adventure
96814,015216250X,0,during summer vacation beach thirteen-year-old wizard nita friend kit assist whale-wizard s39reee combating evil power
165573,0152162577,3,during summer vacation beach thirteen-year-old wizard nita friend kit assist whale-wizard s39reee combating evil power
239821,0786890436,4,the diary ellen rimbauer my life rose red rare document unusual view daily life aristocracy early 1900s window womans hidden emotional torment record mysterious
724,0449006557,3,a bizarre murder thames leads inspector thomas pitt shadowy underworld victorian london art district answers
10161,0449006557,0,a bizarre murder thames leads inspector thomas pitt shadowy underworld victorian london art district answers
216492,0380002450,3,quotshe grew daring reckless overestimating strength she wanted swim where woman swum beforequot
197354,067175145X,2,limbaugh delivers spirited defense conservative values blunt talk scathing wit
197354,067187120X,2,the controversial conservative radio personality presents collection observations clinton administration liberals topics
234043,067187120X,3,the controversial conservative radio personality presents collection observations clinton administration liberals topics
36947,067187120X,0,the controversial conservative radio personality presents collection observations clinton administration liberals topics
197354,156584260X,2,a collection quotations
208238,0385479689,0,the author recounts work murder cases remains famly czar nicholas ii traces vietnam mias
208261,0385479689,3,the author recounts work murder cases remains famly czar nicholas ii traces vietnam mias
187829,0671871005,3,kidnapped warrior leader connor macalister forces marry part revenge betrothed brenna remembers childhood feelings wonders macalister love reprint
22187,0440224829,5,after beloved russian grandmother young woman discovers treasure trove pair satin shoes gold locket stack letters takes fascinating odyssey ancestor colorful past reprint
4673,0451524489,0,presents quotthe awakeningquot seventeen short stories including quota shameful affairquot quotat 39cadian ballquot quotmadame celestin divorcequot
47071,0553561618,3,court reporter marilee jennings embarks quest decipher puzzle friend death secrets worth killing length silence marilee reissue
177156,0553561618,3,court reporter marilee jennings embarks quest decipher puzzle friend death secrets worth killing length silence marilee reissue
47071,0740726854,3,quotthroughout book brockenbrough shares joys fears asks questions mom quotwhy ladies telling baby coldquot shares realization quotwhen you39re mother
19694,0765341972,0,a journalist recounts investigation bizarre winged apparition mysterious lights sky mutilation deaths domestic animals eerie unexplained events point pleasant west virginia
169189,0765341972,2,a journalist recounts investigation bizarre winged apparition mysterious lights sky mutilation deaths domestic animals eerie unexplained events point pleasant west virginia
19694,1551662604,0,this matter of marriage debbie macomber released feb 21 1997 available purchase
205608,1551662604,0,this matter of marriage debbie macomber released feb 21 1997 available purchase
19694,0966724674,0,this book answer questions couples abandoned north power plant night
193713,0786889705,0,two escaped convicts son holland hugh allison flee texas hopes finding freedom key players texas revolution reprint
99036,0553568760,0,struggling save mother baby horribly wrong birth dr sarah baldwin unaware identical circumstances occurred factor common
219797,0553568760,0,struggling save mother baby horribly wrong birth dr sarah baldwin unaware identical circumstances occurred factor common
237220,0140620125,3,a unresolved love foster sister
44378,1573229385,0,caught dead-end low-paying job editorial assistant new york city harry driscoll finds torn dreams writer relationship young woman asked marry
130299,1573229385,0,caught dead-end low-paying job editorial assistant new york city harry driscoll finds torn dreams writer relationship young woman asked marry
32025,0345347536,0,as person xanth magic sort bink wanders exile searching magic powers return
204449,0553586122,0,perfume mogul caitlin vasaro dream creating fragrance realized family estate hovers brink bankruptcy reprint
795,0553285653,3,sent land grass find planet escaped deadly plague threatens rest galaxy strong-willed woman makes unexpected frightening discoveries
141250,0060256672,0,if dreamer if dreamer a wisher liar a hope-er pray-er a magic bean buyer come sidewalk ends shel silversteins world begins
166509,0140042393,1,depicts hardships suffering endured joads journey oklahoma california depression
103881,0140070206,0,in 1938 francis phelan murderer reduced flop houses hobo jungles returns depressed albany -- gravedigger -- shuffles rag tag survival
154945,0375705228,3,just lucy stark employed writer named dv begins read employer latest manuscript receives word died suspicious circumstances journeys italy search rest dv manuscript
60733,055326382X,3,the history concepts physics including quantum mechanics relativity theory viewed framework eastern unravel mysteries physical universe
118178,0877733759,0,offers advice writing creatively discusses importance discipline suggests writing exercises a splendid combination zen wisdom down-to-earth advice writing
206632,0345422392,0,in renaissance florence vittorio witnesses demons destroy entire family embarks desperate quest revenge tormented love mysterious vampire ursula confronted demonic enemies
70549,0451124340,3,for schools libraries a collection tales outlandish commonplace surprising terror
111223,0451124340,0,for schools libraries a collection tales outlandish commonplace surprising terror
185227,0451124340,0,for schools libraries a collection tales outlandish commonplace surprising terror
185227,080662261X,0,tells readers build strength handle rejection flaws perspective
174928,0440414717,0,the author describes dogs special places life including snowball phillippines dirk protected bullies cookie saved life
202790,0812539389,3,broken-hearted jealous sisters happiness tanaquil lured red unicorn mirror world encounters tanakil diabolical version she discovers powers
202790,0441008461,3,quotyoung sorcery fans set harry potter pick merlin quotthe mirror merlinquot ingeniousifilled rich images surprising touches humoru -- quotcincinnati enquirer
172383,0786884622,3,finally paperback in remarkable debut work author karen stolz readers follow arc girl life grows womanhood
174366,0965975401,0,profiles heroines past present including comic book characters amazons real individuals babe didrikson zaharias harriet tubman althea gibson
3673,0684831058,0,anna ramsey angus mccaskill engage fateful contest heart forge lives beautiful two medicine country montana
177296,0684831058,3,anna ramsey angus mccaskill engage fateful contest heart forge lives beautiful two medicine country montana
243031,0140042520,0,during 1950s search buddhist truths takes young bohemians series bizarre experiences california
34383,034531011X,3,thomas covenant finds magically shunted mysterious world land world threatened evil intentions lord foul despiser
72718,0060971819,0,traces thirty years lives angus mccaskill rob barclay emigrate scotland montana 1889
117740,0373484224,3,their immigrant roots warm boisterous family life made passionate strong their charm makes irresistible
